GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG9423.50-314|SPU_002802	14	15	15	15	12	7	37	13	10
HE_FRAG13811.659-2738|SPU_000324	86	78	78	40	98	78	119	174	117
HE_FRAG4783.0-2367|SPU_011065	2251	1946	1946	1425	3565	1201	2048	2714	2014
HE_CONTIG3783|SPU_000635	144	91	91	41	61	8	43	49	31
HE_FRAG15198.0-2124|SPU_005988	19	33	33	58	214	88	102	72	142
HE_COMP245612_C2_SEQ1.1-719|SPU_001690	789	515	515	407	1138	411	618	746	576
HE_CONTIG5209|SPU_017029	272	522	522	280	473	263	252	181	190
HE_COMP239356_C1_SEQ2.0-1154|SPU_009455	2423	770	770	134	265	255	746	315	626
HE_FRAG5175.621-879|SPU_008355	10	32	32	0	4	17	7	3	11
HE_FRAG18746.0-834|SPU_003139	293	551	551	318	369	28	977	316	622
HE_CONTIG4393|SPU_024463	178	42	42	30	75	35	63	27	32
HE_FRAG5653.89-1571|SPU_007945	1686	1000	1000	830	1929	1004	1158	2593	613
HE_CONTIG5007|UNKNOWN	1	1	1	1	1	0	6	0	0
HE_CONTIG4008|SPU_009335	1671	1875	1875	1102	3292	138	1212	647	1013
HE_CONTIG1626|SPU_013326	703	1116	1116	1900	3145	2206	2159	771	1801
HE_FRAG623.0-1536|SPU_009771	114	118	118	13	92	208	177	109	63
HE_CONTIG1650|UNKNOWN	3612	5656	5656	592	729	355	3319	2213	5199
HE_FRAG22208.23-2066|SPU_007265	498	896	896	425	1085	328	439	229	429
HE_FRAG10171.19-1608|SPU_014529	88	112	112	670	1002	550	337	76	114
HE_FRAG14502.0-3903|SPU_026013	1170	708	708	1166	1374	504	1158	1307	1024
HE_CONTIG2437|SPU_014728	1195	1063	1063	1681	2133	519	1584	772	1315
HE_COMP232671_C5_SEQ1.14-290|SPU_025983	22	16	16	25	11	5	18	28	6
HE_CONTIG905|UNKNOWN	8	8	8	0	2	0	10	3	7
HE_FRAG3861.0-2127|SPU_004819	1309	1719	1719	1120	1766	617	2036	578	1768
HE_FRAG22214.1245-2550|SPU_027122	386	545	545	245	494	256	789	269	1018
HE_COMP239451_C8_SEQ1.0-446|SPU_012345	2077	2478	2478	2331	1722	4266	3388	1513	2158
HE_COMP236681_C4_SEQ1.41-1511|SPU_025243	351	199	199	144	405	199	273	259	298
HE_CONTIG878|SPU_012099	7	3	3	0	1	1	1	1	4
HE_FRAG1417.0-1503|SPU_003632	486	347	347	1109	1386	1079	448	304	625
HE_FRAG14480.0-3774|SPU_007008	2837	3364	3364	756	772	809	5369	1299	1418
HE_FRAG9362.0-441|SPU_001402	151	186	186	129	155	170	447	112	229
HE_COMP247611_C2_SEQ1.0-3152|SPU_018068	384	305	305	1707	2986	584	641	279	803
HE_FRAG7601.83-800|SPU_023388	1101	141	141	132	160	183	163	32	292
HE_COMP236703_C0_SEQ1.0-1662|SPU_003114	5261	4933	4933	3772	6159	9007	7235	3256	7951
HE_FRAG5362.26-1298|SPU_001599	636	474	474	234	24	13	793	79	861
HE_FRAG7433.129-560|SPU_006043	490	413	413	109	127	38	1102	313	524
HE_FRAG23288.0-6546|SPU_015529	412	820	820	186	495	74	366	725	486
HE_COMP242716_C0_SEQ1.75-225|UNKNOWN	3	1	1	11	0	4	7	1	1
HE_CONTIG4868|UNKNOWN	122	82	82	112	44	54	38	17	63
HE_CONTIG3381|SPU_007198	117	181	181	15	12	3	396	69	88
HE_FRAG20381.8-1233|SPU_019283	302	212	212	68	820	33	373	225	172
HE_FRAG17929.110-924|SPU_017355	367	465	465	870	1371	943	364	291	547
HE_COMP233580_C8_SEQ2.0-1128|SPU_009726	123	25	25	360	454	260	178	112	179
HE_FRAG1305.642-1413|SPU_014985	50	22	22	262	378	98	137	57	113
HE_COMP243549_C0_SEQ1.36-660|SPU_012304	88	14	14	17	32	28	38	44	8
HE_FRAG5707.6-2820|SPU_010379	2047	1143	1143	914	1103	962	793	1791	896
HE_CONTIG4015|SPU_023240	52	22	22	11	15	6	83	8	12
HE_FRAG8076.981-1587|SPU_009961	62	48	48	83	113	21	69	19	52
HE_CONTIG1654|SPU_024684	323	554	554	2549	2352	1610	1071	475	841
HE_CONTIG3961|SPU_020348	0	1	1	128	115	39	1	1	3
HE_FRAG2339.2-1127|SPU_010756	1515	1399	1399	53	45	10	1184	784	570
HE_CONTIG2602|SPU_015869	1399	985	985	1700	2630	1917	2073	891	1363
HE_FRAG20681.23-2120|SPU_016467	284	1231	1231	431	1519	155	716	226	698
HE_FRAG9957.147-525|SPU_000222	23	9	9	4	13	5	82	1	7
HE_FRAG2585.0-1314|SPU_020440	640	651	651	411	832	771	794	606	928
HE_FRAG8935.10-785|SPU_001778	4065	5596	5596	18618	29921	16862	24046	6155	16138
HE_COMP238684_C4_SEQ1.9-942|SPU_023215	1442	280	280	143	343	285	205	116	368
HE_COMP208451_C1_SEQ1.156-219|UNKNOWN	0	1	1	0	0	0	0	1	0
HE_CONTIG3894|SPU_009739	7485	3128	3128	1419	2136	1364	4592	4118	4280
HE_CONTIG437|SPU_000941	9	3	3	27	96	29	52	21	24
HE_COMP235329_C0_SEQ1.99-1020|SPU_022363	224	417	417	1248	916	1263	281	178	151
HE_COMP240229_C6_SEQ1.53-90|UNKNOWN	1	3	3	1	2	0	2	0	1
HE_FRAG16757.411-1167|UNKNOWN	45	18	18	326	577	117	72	44	41
HE_COMP227746_C2_SEQ1.11-602|SPU_013485	2	4	4	8	19	1	1	1	4
HE_COMP239701_C2_SEQ5.0-432|SPU_017533	11	3	3	4	4	1	6	18	10
HE_CONTIG890|UNKNOWN	4	6	6	2	1	5	4	7	1
HE_CONTIG24|UNKNOWN	6	11	11	1	13	0	10	5	5
HE_COMP228557_C0_SEQ1.522-630|SPU_008956	8	1	1	19	20	3	12	0	1
HE_CONTIG1307|SPU_025385	1	2	2	5	15	2	1	2	4
HE_CONTIG4449|SPU_016473	1	1	1	1	1	0	3	4	2
HE_CONTIG980|UNKNOWN	276	303	303	239	448	130	477	241	319
HE_COMP242382_C3_SEQ1.1090-2418|SPU_028341	39	22	22	149	336	136	268	140	231
HE_CONTIG4230|SPU_010424	52787	22812	22812	18260	25477	21980	32138	35522	35182
HE_CONTIG4101|SPU_002210	3078	2420	2420	19758	22534	17374	9711	2198	4992
HE_CONTIG4549|UNKNOWN	221	17	17	4	62	0	16	219	14
HE_COMP246436_C3_SEQ1.24-843|SPU_024168	1109	2453	2453	2996	5111	2280	3474	1099	3116
HE_CONTIG2231|UNKNOWN	399	587	587	1202	844	325	356	293	250
HE_CONTIG1194|UNKNOWN	11	43	43	28	65	42	66	15	62
HE_CONTIG3487|SPU_028935	1932	200	200	279	330	284	131	205	254
HE_COMP234335_C3_SEQ1.38-1424|UNKNOWN	88	48	48	2	3	1	57	79	54
HE_COMP245279_C3_SEQ1.1-1004|SPU_025672	306	333	333	658	951	597	985	423	516
HE_COMP230317_C1_SEQ2.1548-1839|SPU_019963	58	43	43	24	65	21	63	60	58
HE_COMP242731_C5_SEQ1.302-336|UNKNOWN	1	0	0	0	1	0	0	1	0
HE_FRAG5946.152-1406|SPU_009427	383	648	648	620	700	405	631	467	607
HE_CONTIG3139|SPU_001395	1272	2265	2265	2209	5726	1882	2139	1659	2322
HE_CONTIG1272|UNKNOWN	1	2	2	0	0	0	0	0	2
HE_COMP240654_C1_SEQ1.747-1185|SPU_002194	795	1894	1894	888	2666	330	1378	1013	2290
HE_COMP245789_C1_SEQ7.20-636|SPU_009517	251	153	153	655	698	317	300	184	383
HE_COMP232716_C8_SEQ5.14-65|UNKNOWN	538	257	257	36	97	26	408	385	462
HE_FRAG1569.2-2256|SPU_016101	7877	3044	3044	3113	9148	4184	6629	6161	6337
HE_COMP222251_C0_SEQ1.0-207|SPU_027356	0	1	1	0	2	3	5	3	2
